Env,Gen,GY,GD,PH,TN,PN,GP
Location 1,Genotype 1,3.16,135,96.2,8,7,71
Location 1,Genotype 2,2.69,141,88.1,9,9,94
Location 1,Genotype 3,1.7,140,102.5,9,9,59
Location 1,Genotype 4,3.57,120,108,8,7,96
Location 1,Genotype 5,4.8,122,104.7,10,8,95
Location 2,Genotype 4,3.73,120,115,10,7,51
Location 2,Genotype 1,3.64,126,108.5,9,9,80
Location 2,Genotype 5,4.16,130,111.3,7,7,101
Location 2,Genotype 2,3.31,141,104.8,9,9,75
Location 2,Genotype 3,4.4,134,122.5,9,8,113
Location 3,Genotype 1,6.19,135,106,16,9,107
Location 3,Genotype 2,4.94,142,91,14,12,80
Location 3,Genotype 3,5.36,141,122,12,11,89
Location 3,Genotype 5,6.08,128,123,11,11,88
Location 3,Genotype 4,5.27,117,112,11,9,105
Location 4,Genotype 2,1.74,142,92.6,14,12,87
Location 4,Genotype 3,2.6,139,119.8,11,10,90
Location 4,Genotype 1,3.43,137,106.5,9,7,95
Location 4,Genotype 5,3.54,126,123,8,8,92
Location 4,Genotype 4,3.55,120,114.2,9,7,104
Location 5,Genotype 1,4.3,132,100,13,12,70
Location 5,Genotype 5,3.1,127,108,9,9,79
Location 5,Genotype 2,5.68,138,112,10,10,105
Location 5,Genotype 3,5.55,142,111,11,10,118
Location 5,Genotype 4,2.91,109,116,9,9,114
Location 6,Genotype 1,4.37,126,109,11,10,55
Location 6,Genotype 2,4.98,142,107,11,10,80
Location 6,Genotype 3,4.39,123,131,9,9,73
Location 6,Genotype 4,4.05,117,131,7,6,71
Location 6,Genotype 5,3.83,120,131,14,10,88
Location 7,Genotype 1,4.11,132,87.4,16,10,74
Location 7,Genotype 2,4.05,138,80.6,12,10,100
Location 7,Genotype 3,3.94,135,108.6,9,8,97
Location 7,Genotype 5,4.24,130,110.2,10,10,71
Location 7,Genotype 4,4.76,122,106.8,10,9,96
